OfficialCode,ProgramId,ProgramName
P540-LNN-D,203,B.Pharm. (Bachelor of Pharmacy) [Lateral Entry]
P540-NNN-D,67,B.Pharm. (Bachelor of Pharmacy)
P541-NND,947,Bachelor of Optometry
P541-NNE,949,Bachelor of Medical Radiology and Imaging Technology
P541-NNH,955,Bachelor of Cardiovascular Technology
P541-NNJ,951,Bachelor of Medical Laboratory Science
P541-NNK,953,Bachelor of Anaesthesia and Operation Theatre Technology
P542-L,205,B.PT (Bachelor of Physiotherapy) [Lateral Entry]
P542-NNCA,948,Bachelor of Physiotherapy (B.PT)
P548,1077,B.Sc. (Clinical Embryology)
P561-NNM,956,Master of Medical Laboratory Science (Medical Microbiology)
P568,677,M.Sc. Clinical Embryology <i>in tie up with</i><b> Cooper Surgical India (Origio India Pvt. Ltd)</b>
P570-NN1-D,165,M.Pharm. Pharmaceutics
P570-NN2-D,166,M.Pharm. Pharmacology
P570-NN3-D,557,M.Pharm. Pharmaceutical Chemistry
P570-NNB-D,470,M.Pharm. Pharmaceutical Analysis
P570-NND-D,558,M.Pharm. Pharmacy Practice <i>in tie up with</i><b> CMC Ludhiana</b>
P572-NNDA,950,M.PT (Musculoskeletal Science)
P572-NNEA,954,M.PT (Neuroscience)
P572-NNFA,958,M.PT (Sports Science)
P580-NNLA,1080,Pharm.D (PB) <i>in tie up with</i><b> Capitol Hospital Jalandhar</b>
P5D0-NN1,208,Ph.D. (Pharmaceutics) [Full Time Mode]
P5D0-NN2,301,Ph.D. (Pharmacology) [Full Time Mode]
P5D0-NN3,297,Ph.D. (Pharmaceutical Chemistry) [Full Time Mode]
P5D0-NN6,299,Ph.D. (Pharmacognosy) [Full Time Mode]
P5D0-NN8,288,Ph.D. (Ayurvedic Pharmacy) [Full Time Mode]
P5D0-NNB,742,Ph.D. (Pharmaceutical Analysis) [Full Time Mode]
P5D0-NND,731,Ph.D. (Pharmacy Practice) [Full Time Mode]
P5D0-TN1,209,Ph.D. (Pharmaceutics) [Part Time Mode]
P5D0-TN2,302,Ph.D. (Pharmacology) [Part Time Mode]
