official_code,eligibility_base,row_label
P102-LNP,Lateral Entry/Other Programmes(After ITI etc),Diploma (Engg.) [Lateral Entry]
P108-L,Lateral Entry/Other Programmes(After ITI etc),Diploma (Engg.) [Lateral Entry]
P107-L,Lateral Entry/Other Programmes(After ITI etc),Diploma (Engg.) [Lateral Entry]
P135-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P132-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry] (CSE/ IT)
P132-LNP,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. B.Tech. (CSE - AI and ML) [Lateral Entry]
P133-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry] (CSE/ IT)
P138-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P138-LN1,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P137-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P137-LN1,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry] (Construction Technology)
P136-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P13A-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P13AF-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry] (Robotics and Automation)
P131-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P13Q-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P139-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P13E-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P13C-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P13O-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Tech. [Lateral Entry]
P124-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),BCA [Lateral Entry]
P123-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (IT) [Lateral Entry]
P321-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),BBA [Lateral Entry]
P322-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Com. [Lateral Entry]
P324-LN8,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc (Hotel and Hospitality Management) [Lateral Entry]
