Programme Name,Programme Code,Matched Bucket,Dates
B.Com. (Corporate Finance),P322-NN7,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Com. (Fintech and Artificial Intelligence),P322-NNA,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Economics),P323-NN1,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hons.)/ (Hons with Research) Economics,P343-HN2,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
"B.A., LL.B.(Hons.) {No exit/discontinue option after B.A.}",P490-HH,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
"BBA, LL.B. (Hons.) {No exit/discontinue option after BBA}",P391-HH,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
"B.Sc. (Airlines, Tourism and Hospitality)",P325,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
"BBA (Tourism, Hospitality and Event Management)",P320-NNAG,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BBA (Airlines and Airport Management),P320-NNM,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Hotel and Hospitality Management),P324-NN8,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Hotel Mgt and Catering Technology (BHMCT),P344,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Hotel Mgt and Catering Technology (BHMCT) [ 2+2 with international credit transfer option],P344-Y,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Culinary Arts),P324-NN6,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B. Arch.,P741,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Integrated B.Tech - M.Tech (Urban and Regional Planning),P793-ND2,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Interior and Furniture Design),P722-NNJ,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Design (Interior and Furniture),P742-NN1,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Design (Product and Industrial),P742-NN2,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Design (UI/UX),P742-NNM,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Sc. (Fashion Design),P722-NNF,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Design (Fashion),P742-NN3,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B Design (Fashion) [ 2+2 with international credit transfer option],P742-YN3,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Sc. (Animation and VFX Design),P722-NNL,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Design (Animation and VFX),P742-NNL,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Sc. (Gaming Design),P722-NNG,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Design (Gaming),P742-NN8,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Sc. (Graphics Design),P722-NNH,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Design (Graphics),P742-NN5,TypeB (UG Design),"{""Online Registration Starts on"": ""1st August  2026 onwards"", ""Slot Booking for Online Examination"": ""15th August 2026"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.A. (Fine Arts),P421,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Fine Arts (BFA),P441,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.A. (Journalism and Mass Communication),P724,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Film and TV Production),P727,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Design (Film and TV Production),P742-NN6,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma in Library and Information Sciences (D. Lib.I.Sc.),P41B,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.A. (Music Vocal),P422-NN5,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.A. (Theatre),P422-NN7,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BPA (Music Vocal),P442-NN5,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
BPA (Theatre),P442-NN7,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor in Clinical Psychology (B.Clin. Psy),P44G-HN2,B.Sc (Clinical Psychology),"{""Online Registration Starts on"": ""3rd June 2026 onwards"", ""Slot Booking for Online Examination"": ""3rd June 2026 onwards"", ""Last date to apply & book slot"": ""30th June 2026"", ""Dates of Entrance Examination #"": ""6th June to 5th July"", ""Scorecard Release"": ""Within 48 hours"", ""Final Merit list and seat allocation"": ""6th July 2026"", ""Last Date of Admission"": ""10th July 2026""}"
Bachelor of Psychology (B.Psy),P44A-NN3,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
Bachelor of Arts (B.A.),P420,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.A. (Hons.)/ (Hons. with Research) English Political Science History Sociology Geography Psychology Punjabi Public Administration,P440-HN4,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.A. (Social Science),P420-NN7,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Social Work (BSW),P42K,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Social Work (Hons.)/ (Hons with Research),P44K-H,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Public Policy),P42I,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Sc. (Health and Physical Education),P622,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Bachelor of Physical Education and Sports (BPES),P625,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.A. B.Ed. Spl. Ed. (Multiple Disability – Preparatory Stage) - ISITEP,P49M-NK2,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
