official_code,base_saarc,base_zone1,base_zone2,saarc_A,saarc_B,saarc_C,zone1_A,zone1_B,zone1_C,zone2_A,zone2_B,zone2_C
P742-LNM,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P722-LNF,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P742-LN3,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P540-LNN-D,120000.0,2500.0,4000.0,48000.0,60000.0,72000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P542-L,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P521-L,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P521-LN5,80000.0,1500.0,3000.0,32000.0,40000.0,48000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P521-LN6,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P521-LNC,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P521-LN7,100000.0,2000.0,3500.0,40000.0,50000.0,60000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P371-NNAF,220000.0,3000.0,4500.0,88000.0,110000.0,132000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P371-YNAF,220000.0,3000.0,4500.0,88000.0,110000.0,132000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P370-NN2F,220000.0,3000.0,4500.0,88000.0,110000.0,132000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P370-NN3F,220000.0,3000.0,4500.0,88000.0,110000.0,132000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
